filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,cosyn_res,cosyn_time,cvc5_res,cvc5_time,repairExamples_res,repairExamples_time,sketch_res,sketch_time
/sv-comp/ssh-simplified/s3_clnt_1_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m0.800s,unknown,60m0.019s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_2_cil-1.c,unknown,yes,yes,1, 1,realizable,0m0.030s,realizable,0m0.218s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_2_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m2.451s,unknown,60m0.020s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_3_cil-1.c,unknown,yes,yes,1, 1,unrealizable,0m13.052s,unknown,60m0.018s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_3_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m0.667s,unknown,60m0.019s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_3_cil-3.c,unknown,yes,yes,1, 1,unrealizable,0m1.103s,unknown,60m0.027s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_4_cil-1.c,unknown,yes,yes,1, 1,unrealizable,0m1.046s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ssh-simplified/s3_clnt_4_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m0.821s,unknown,60m0.023s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_10_cil.c,unknown,yes,yes,1, 1,unrealizable,0m0.064s,unknown,60m0.015s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_11_cil.c,unknown,yes,yes,1, 1,unrealizable,0m1.310s,unknown,60m0.035s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_12_cil.c,unknown,yes,yes,1, 1,unrealizable,0m13.650s,unknown,60m0.027s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_13_cil.c,unknown,yes,yes,1, 1,unrealizable,0m1.859s,unknown,60m0.029s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_14_cil.c,unknown,yes,yes,1, 1,unrealizable,0m0.155s,unknown,60m0.024s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_1a_cil.c,unknown,yes,yes,2, 1,realizable,0m1.215s,unknown,60m0.018s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_1b_cil.c,unknown,yes,yes,5, 1,realizable,0m0.016s,realizable,0m0.142s,error,error,error,error,
