filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,sketch_res,sketch_time
/tcas/tcas_v2_unknown.c,unknown,yes,yes,2, 0,realizable,0m10.221s,
/tcas/tcas_v30_unknown.c,unknown,yes,yes,1, 0,unknown,0m9.497s,
/tcas/tcas_v31_unknown.c,unknown,yes,yes,1, 0,unknown,28m40.754s,
/tcas/tcas_v32_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,
/tcas/tcas_v33_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.503s,
/tcas/tcas_v34_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.328s,
/tcas/tcas_v35_unknown.c,unknown,yes,yes,2, 0,realizable,0m23.016s,
/tcas/tcas_v36_unknown.c,unknown,yes,yes,2, 0,unknown,0m17.540s,
/tcas/tcas_v37_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.512s,
/tcas/tcas_v38_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.551s,
/tcas/tcas_v39_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,
/tcas/tcas_v3_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.294s,
/tcas/tcas_v40_realizable.c,realizable,yes,yes,1, 0,unknown,43m44.860s,
/tcas/tcas_v41_unknown.c,unknown,yes,yes,1, 0,realizable,0m3.531s,
/tcas/tcas_v4_realizable.c,realizable,yes,yes,1, 0,realizable,0m3.750s,
/tcas/tcas_v5_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.314s,
/tcas/tcas_v6_realizable.c,realizable,yes,yes,4, 0,realizable,0m4.331s,
/tcas/tcas_v7_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.534s,
/tcas/tcas_v8_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.499s,
/tcas/tcas_v9_realizable.c,realizable,yes,yes,1, 0,realizable,4m28.414s,
