filename,expected_result,backward_exists,forward_exists,num_conditions,cosyn_res,cosyn_time,cvc5_res,cvc5_time
/tcas/tcas_v34_realizable.c,realizable,yes,yes,1,realizable,0m2.134s,unknown,60m0.012s,
/tcas/tcas_v35_unknown.c,unknown,yes,yes,2,realizable,0m4.651s,unknown,60m0.008s,
/tcas/tcas_v36_unknown.c,unknown,yes,yes,2,unrealizable,0m0.775s,unknown,60m0.009s,
/tcas/tcas_v37_unknown.c,unknown,yes,yes,2,unrealizable,0m0.358s,unknown,60m0.010s,
/tcas/tcas_v38_unknown.c,unknown,yes,yes,2,realizable,0m3.066s,unknown,60m0.008s,
/tcas/tcas_v39_unknown.c,unknown,yes,yes,1,realizable,0m2.394s,unknown,60m0.011s,
/tcas/tcas_v3_realizable.c,realizable,yes,yes,1,realizable,0m1.148s,unknown,60m0.007s,
/tcas/tcas_v40_realizable.c,realizable,yes,yes,1,realizable,0m2.426s,unknown,60m0.007s,
/tcas/tcas_v41_unknown.c,unknown,yes,yes,1,realizable,0m0.992s,unknown,60m0.010s,
/tcas/tcas_v4_realizable.c,realizable,yes,yes,1,realizable,0m0.985s,unknown,60m0.010s,
/tcas/tcas_v5_realizable.c,realizable,yes,yes,1,realizable,0m2.371s,unknown,60m0.010s,
/tcas/tcas_v6_realizable.c,realizable,yes,yes,4,realizable,0m5.409s,unknown,60m0.015s,
/tcas/tcas_v7_unknown.c,unknown,yes,yes,2,unrealizable,0m0.453s,unknown,60m0.007s,
/tcas/tcas_v8_unknown.c,unknown,yes,yes,2,unrealizable,0m1.047s,unknown,60m0.007s,
/tcas/tcas_v9_realizable.c,realizable,yes,yes,1,realizable,0m2.302s,unknown,60m0.007s,
